name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Moscow,2023-04-01,8,0,3.5,5.4,-2.3,1.6,1,85.1,1.4,100,29.17,rain&snow,0.3,0.2,27.7,18,184.2,1003.7,90.2,6.9,,,,,2023-04-01T06:01:33,2023-04-01T19:06:46,0.34,Snow&Rain&Overcast,Cloudy skies throughout the day with rain or snow clearing later.,snow,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-02,10.6,5.6,7.7,10.6,2.7,5.4,4.6,81.3,0.1,100,4.17,rain,0,0,39.2,21,159.2,1010.3,95.4,9.6,,,,,2023-04-02T05:58:57,2023-04-02T19:08:47,0.38,Rain&Overcast,Cloudy skies throughout the day with late afternoon rain.,rain,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-03,12.6,5.2,8.9,12.6,2.9,7.8,4.8,77.1,0.5,100,8.33,rain,0,0,36,16.8,77.9,1014,71.1,9.5,,,,,2023-04-03T05:56:21,2023-04-03T19:10:48,0.41,Rain&Partially_cloudy,Partly cloudy throughout the day with late afternoon rain.,rain,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-04,12.7,6.2,9.2,12.7,4,8.1,5.4,78.4,0.9,100,16.67,rain,0,0,28.8,12.9,2.4,1015.1,47.9,8.8,,,,,2023-04-04T05:53:45,2023-04-04T19:12:49,0.44,Rain&Partially_cloudy,Partly cloudy throughout the day with rain clearing later.,rain,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-05,11.7,2.2,7.1,11.7,0.1,5.2,3.6,79.9,0,0,0,,0,0,39.6,21,18,1019.6,61.6,8.4,,,,,2023-04-05T05:51:10,2023-04-05T19:14:49,0.47,Partially_cloudy,Partly cloudy throughout the day.,partly-cloudy-day,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-06,13.6,3.2,8.1,13.6,-0.9,5.6,0.3,60.3,0,0,0,,0,0,43.2,27.3,49.6,1023.1,9.9,10,,,,,2023-04-06T05:48:35,2023-04-06T19:16:50,0.5,Clear,Clear conditions throughout the day.,clear-day,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-07,11,0.2,5.8,11,-4.2,3,-4.1,50.7,0,0,0,,0,0,39.6,24.6,70.6,1025.4,21.6,10,,,,,2023-04-07T05:46:01,2023-04-07T19:18:51,0.54,Partially_cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-08,12.6,-0.2,6.6,12.6,-4.2,4.6,-3.2,51.4,0,0,0,,0,0,29.1,18.6,99.3,1026.7,45.8,10,,,,,2023-04-08T05:43:27,2023-04-08T19:20:52,0.58,Partially_cloudy,Partly cloudy throughout the day.,partly-cloudy-day,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-09,13.4,2.5,8.2,13.4,-0.3,7.1,0.2,59,0,0,0,,0,0,20.5,13.8,146.6,1025.7,53.3,9.9,,,,,2023-04-09T05:40:53,2023-04-09T19:22:53,0.61,Partially_cloudy,Partly cloudy throughout the day.,partly-cloudy-day,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-10,12.6,4.8,8.3,12.6,3.4,7.5,2.3,66.9,0.4,100,16.67,rain,0,0,36,14.7,277.1,1024.8,44.5,9.8,,,,,2023-04-10T05:38:20,2023-04-10T19:24:54,0.65,Rain&Partially_cloudy,Partly cloudy throughout the day with rain in the morning and afternoon.,rain,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-11,15.4,4.8,9.6,15.4,3.4,8.8,2.2,64.6,0.2,100,8.33,rain,0,0,24.1,13.8,124.5,1020.3,32.6,8.8,,,,,2023-04-11T05:35:48,2023-04-11T19:26:55,0.69,Rain&Partially_cloudy,Becoming cloudy in the afternoon with rain.,rain,UUMO;UUWW;UUEE;27515599999;27518599999
Moscow,2023-04-12,17,1.6,10.2,17,1.6,9.9,-0.8,52.2,0,0,0,,0,0,39.6,16.5,98.1,1016.1,33.3,9.8,,,,,2023-04-12T05:33:16,2023-04-12T19:28:57,0.72,Partially_cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,UUMO;UUWW;UUEE;27515599999;27518599999
